File Name,Exposure Time,File Path,Step,Gas Type
test_03_01_1000_Ar_120sec.fits,120.234,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1000_Ar_120sec.fits,1000,Ar
test_03_01_1150_Ar_60sec.fits,60.063,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1150_Ar_60sec.fits,1150,Ar
test_03_01_1000_Ar_60sec.fits,60.187,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1000_Ar_60sec.fits,1000,Ar
test_03_01_1050_Ar_60sec.fits,60.047,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1050_Ar_60sec.fits,1050,Ar
test_03_01_1100_Ar_60sec.fits,60.093,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1100_Ar_60sec.fits,1100,Ar
test_03_01_1250_Ar_120sec.fits,120.047,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1250_Ar_120sec.fits,1250,Ar
test_03_01_1500_Ar_120sec.fits,120.094,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1500_Ar_120sec.fits,1500,Ar
test_03_01_1100_Ar_120sec.fits,120.14,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1100_Ar_120sec.fits,1100,Ar
test_03_01_1650_Ar_120sec.fits,120.109,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1650_Ar_120sec.fits,1650,Ar
test_03_01_1600_Ar_120sec.fits,120.094,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1600_Ar_120sec.fits,1600,Ar
test_03_01_1150_Ar_120sec.fits,120.109,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1150_Ar_120sec.fits,1150,Ar
test_03_01_1550_Ar_120sec.fits,120.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1550_Ar_120sec.fits,1550,Ar
test_03_01_1200_Ar_120sec.fits,120.063,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1200_Ar_120sec.fits,1200,Ar
test_03_01_1700_Ar_120sec.fits,120.031,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1700_Ar_120sec.fits,1700,Ar
test_03_01_1050_Ar_120sec.fits,120.313,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1050_Ar_120sec.fits,1050,Ar
test_03_01_1200_Ar_60sec.fits,60.11,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1200_Ar_60sec.fits,1200,Ar
test_03_01_1450_Ar_120sec.fits,120.062,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1450_Ar_120sec.fits,1450,Ar
test_03_01_1300_Ar_120sec.fits,120.016,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1300_Ar_120sec.fits,1300,Ar
test_03_01_1400_He_60sec.fits,60.031,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Helium_15.5psi_0024_HV100mA_HV1300V_MCP2850V/test_03_01_1400_He_60sec.fits,1400,He
test_03_01_1550_He_60sec.fits,60.079,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Helium_15.5psi_0024_HV100mA_HV1300V_MCP2850V/test_03_01_1550_He_60sec.fits,1550,He
test_03_01_1500_He_60sec.fits,60.047,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Helium_15.5psi_0024_HV100mA_HV1300V_MCP2850V/test_03_01_1500_He_60sec.fits,1500,He
test_03_01_1450_He_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Helium_15.5psi_0024_HV100mA_HV1300V_MCP2850V/test_03_01_1450_He_60sec.fits,1450,He
test_03_01_1350_He_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Helium_15.5psi_0024_HV100mA_HV1300V_MCP2850V/test_03_01_1350_He_60sec.fits,1350,He
test_03_01_1000_He_60sec.fits,60.25,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Helium_15.5psi_0024_HV100mA_HV1300V_MCP2850V/test_03_01_1000_He_60sec.fits,1000,He
test_03_01_1600_He_60sec.fits,60.047,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Helium_15.5psi_0024_HV100mA_HV1300V_MCP2850V/test_03_01_1600_He_60sec.fits,1600,He
